departure_city,departure_airport,departure_country,departure_date,departure_time,departure_landing_time,arrival_city,arrival_airport,arrival_country,return_date,return_time,return_landing_time,airline,airline_logo,flight_price,flight_seat_type,flight_id
Copenhagen,Copenhagen Airport,Denmark,19/10/2022,10:00,14:30,Aalborg,Aalborg Airport,Denmark,26/10/2022,00:15,14:15,SAS,sas.png,$349.00,Economy,1
Copenhagen,Copenhagen Airport,Denmark,08/10/2022,15:35,20:05,Aalborg,Aalborg Airport,Denmark,15/10/2022,11:25,17:20,Norwegian,norwegian.png,$599.00,Business,2
"Copenhagen,Copenhagen Airport,Denmark,02/10/2022,02:10,06:40,Aalborg,Aalborg Airport,Denmark,09/10/2022,23:00,04:35,Lufthansa,lufthansa.png,""$1,149.00"",First Class,3"
Copenhagen,Copenhagen Airport,Denmark,01/10/2022,10:00,14:30,Aberdeen,Aberdeen International Airport,Scotland,08/10/2022,00:15,14:15,SAS,sas.png,$349.00,Economy,4
Copenhagen,Copenhagen Airport,Denmark,23/10/2022,15:35,20:05,Aberdeen,Aberdeen International Airport,Scotland,30/10/2022,11:25,17:20,Norwegian,norwegian.png,$599.00,Business,5
"Copenhagen,Copenhagen Airport,Denmark,26/10/2022,02:10,06:40,Aberdeen,Aberdeen International Airport,Scotland,02/11/2022,23:00,04:35,Lufthansa,lufthansa.png,""$1,149.00"",First Class,6"
Copenhagen,Copenhagen Airport,Denmark,25/10/2022,10:00,14:30,Abu Dhabi ,Abu Dhabi International,United Arab Emirates,01/11/2022,00:15,14:15,SAS,sas.png,$349.00,Economy,7
Copenhagen,Copenhagen Airport,Denmark,01/10/2022,15:35,20:05,Abu Dhabi ,Abu Dhabi International,United Arab Emirates,08/10/2022,11:25,17:20,Norwegian,norwegian.png,$599.00,Business,8
"Copenhagen,Copenhagen Airport,Denmark,10/10/2022,02:10,06:40,Abu Dhabi ,Abu Dhabi International,United Arab Emirates,17/10/2022,23:00,04:35,Lufthansa,lufthansa.png,""$1,149.00"",First Class,9"
Copenhagen,Copenhagen Airport,Denmark,30/10/2022,10:00,14:30,Adelaide,Adelaide Airport,Australia,06/11/2022,00:15,14:15,SAS,sas.png,$349.00,Economy,10
Copenhagen,Copenhagen Airport,Denmark,13/10/2022,15:35,20:05,Adelaide,Adelaide Airport,Australia,20/10/2022,11:25,17:20,Norwegian,norwegian.png,$599.00,Business,11
"Copenhagen,Copenhagen Airport,Denmark,06/10/2022,02:10,06:40,Adelaide,Adelaide Airport,Australia,13/10/2022,23:00,04:35,Lufthansa,lufthansa.png,""$1,149.00"",First Class,12"
Copenhagen,Copenhagen Airport,Denmark,07/10/2022,10:00,14:30,Akita,Akita Airport,Japan,14/10/2022,00:15,14:15,SAS,sas.png,$349.00,Economy,13
Copenhagen,Copenhagen Airport,Denmark,12/10/2022,15:35,20:05,Akita,Akita Airport,Japan,19/10/2022,11:25,17:20,Norwegian,norwegian.png,$599.00,Business,14
"Copenhagen,Copenhagen Airport,Denmark,27/10/2022,02:10,06:40,Akita,Akita Airport,Japan,03/11/2022,23:00,04:35,Lufthansa,lufthansa.png,""$1,149.00"",First Class,15"
Copenhagen,Copenhagen Airport,Denmark,30/10/2022,10:00,14:30,Amsterdam,Amsterdam Airport Schiphol,Netherlands,06/11/2022,00:15,14:15,SAS,sas.png,$349.00,Economy,16
Copenhagen,Copenhagen Airport,Denmark,25/10/2022,15:35,20:05,Amsterdam,Amsterdam Airport Schiphol,Netherlands,01/11/2022,11:25,17:20,Norwegian,norwegian.png,$599.00,Business,17
"Copenhagen,Copenhagen Airport,Denmark,01/11/2022,02:10,06:40,Amsterdam,Amsterdam Airport Schiphol,Netherlands,08/11/2022,23:00,04:35,Lufthansa,lufthansa.png,""$1,149.00"",First Class,18"
Copenhagen,Copenhagen Airport,Denmark,15/10/2022,10:00,14:30,Antalya,Antalya Airport,Turkey,22/10/2022,00:15,14:15,SAS,sas.png,$349.00,Economy,19
Copenhagen,Copenhagen Airport,Denmark,04/10/2022,15:35,20:05,Antalya,Antalya Airport,Turkey,11/10/2022,11:25,17:20,Norwegian,norwegian.png,$599.00,Business,20
